Begriff,Definition,UUID
Personalbetreuung,"Personalbetreuung beschreibt Verfahren und Regelungen zum Thema ""Personalbetreuung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Personalentwicklung und nachgelagerten Aspekten wie Weggang von Mitarbeitenden. Schwerpunkte sind u. a.: Maßregelung; Innentäter; Vertrauens-Check sicherheitskritischer Rollen.",c555cb32-1885-4697-ae6a-cf2fc244847a
Personalentwicklung,"Personalentwicklung beschreibt Verfahren und Regelungen zum Thema ""Personalentwicklung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Personalzugang und nachgelagerten Aspekten wie Personalbetreuung. Schwerpunkte sind u. a.: Qualifikationsbedarf; Rollenspezifische Schulungen und Sensibilisierungen.",b464c9dc-72d9-42a2-bdd6-207717685de7
Personalzugang,"Personalzugang beschreibt Verfahren und Regelungen zum Thema ""Personalzugang"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Aufgaben, Rollen, Zuständigkeiten und nachgelagerten Aspekten wie Personalentwicklung. Schwerpunkte sind u. a.: Dienst- oder Arbeitsvertrag; Verfahrensanweisungen; Betriebs- und Geschäftsgeheimnisse.",2af62e3f-0681-400d-b829-ab05178a15c4
Physische Sicherheit,"Physische Sicherheit beschreibt Verfahren und Regelungen zum Thema ""Physische Sicherheit"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umgang mit spezifischen Zielobjekten und nachgelagerten Aspekten wie Mobiles Arbeiten. Schwerpunkte sind u. a.: Risiken der Nutzung von mobilen Endgeräten; Schließen von Türen und Fenstern; Mitbringen von IT-Systemen.",7b79ab25-2173-4657-8ed3-c4b17a664931
Physischer Perimeter,"Physischer Perimeter beschreibt Verfahren und Regelungen zum Thema ""Physischer Perimeter"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Physischer Zutritt. Schwerpunkte sind u. a.: Installation von Perimetern; Dokumentation öffentlicher Bereiche; Erkundung aus dem öffentlichen Raum.",c2eb65e7-af71-4d00-b38c-35fad5a724fe
Physischer Schutz,"Physischer Schutz beschreibt Verfahren und Regelungen zum Thema ""Physischer Schutz"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Konfiguration von Systemen und nachgelagerten Aspekten wie Vertrauenswürdige Basisdienste. Schwerpunkte sind u. a.: Kryptographischer Hardwarespeicher; Speicherverschlüsselung; SIM-PIN.",1020ae3e-3137-428a-ac3a-345959b01a41
Physischer Zutritt,"Physischer Zutritt beschreibt Verfahren und Regelungen zum Thema ""Physischer Zutritt"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Physischer Perimeter und nachgelagerten Aspekten wie Umwelteinflüsse. Schwerpunkte sind u. a.: Überwachung von Zutrittspunkten; Anmelde- und Empfangsbereiche; Authentifizierung vor Zutritt.",ae1d6874-2947-4e06-9dac-edb94ba47bd2
Platzierung von Assets,"Platzierung von Assets beschreibt Verfahren und Regelungen zum Thema ""Platzierung von Assets"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Gemeinsame Arbeitsbereiche und nachgelagerten Aspekten wie Schlüsselverwaltung. Schwerpunkte sind u. a.: Zugang zu Ausgabesystemen; Geschützte Aufstellung; Netzkomponenten.",038aa0ae-dd86-495f-8f15-dcf25c708bfb
Protokollierung,"Protokollierung beschreibt Verfahren und Regelungen zum Thema ""Protokollierung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Meldung von Ereignissen und nachgelagerten Aspekten wie Überwachung von Aktivitäten. Schwerpunkte sind u. a.: Protokollierung sicherheitsrelevanter Ereignisse; Filterung nicht benötigter Inhalte; Speicherkapazität.",f89a51b5-45ec-43ba-8ebd-c079b7780802
Informationssicherheitseinstufung,"Die Informationssicherheitseinstufung dient der systematischen Identifikation des Schutzbedarfs von Geschäftsprozessen und verarbeiteten Informationen. Hierbei wird zwischen dem Schutzbedarf ""normal"" und ""hoch"" unterschieden. Der prozessorientierte Ansatz stellt die Verbindung zwischen Geschäftsprozessen und Informationen in den Vordergrund.",74e1ef8c-6faf-4741-8731-2cf7785dedbf
Reaktion,"Reaktion beschreibt Verfahren und Regelungen zum Thema ""Reaktion"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Erkenntnisse. Schwerpunkte sind u. a.: Triage und Erstreaktion; Automatische Erstreaktion; Dokumentation von Vorfällen.",30760622-d505-4b78-a59c-4acdee3c4a6b
Regelungen zum Gebrauch,"Regelungen zum Gebrauch beschreibt Verfahren und Regelungen zum Thema ""Regelungen zum Gebrauch"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Inventarisierung und nachgelagerten Aspekten wie Regelungen zum Transfer. Schwerpunkte sind u. a.: Nutzungsvereinbarungen; Kennzeichnung; Kennzeichnung ohne vertrauliche Daten.",ded840ba-8462-49cb-bde7-dfb2632d7871
Regelungen zum Transfer,"Regelungen zum Transfer beschreibt Verfahren und Regelungen zum Thema ""Regelungen zum Transfer"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Regelungen zum Gebrauch und nachgelagerten Aspekten wie Wartung. Schwerpunkte sind u. a.: Autorisierung von Schnittstellen; Vertraulichkeit und Integrität beim Transport; Autorisierung von Veröffentlichungen.",bcaa84e2-2179-4e06-bad4-1f9cef1e3b80
Ressourcenauslastung,"Ressourcenauslastung beschreibt Verfahren und Regelungen zum Thema ""Ressourcenauslastung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Verteilte Anwendungen. Schwerpunkte sind u. a.: Begrenzung des Speicherplatzes; Begrenzung der Rechenleistung; Denial of Service.",baa36654-e2f4-4556-ad26-d235be35c5b4
Rollen und Berechtigungen,"Rollen und Berechtigungen beschreibt Verfahren und Regelungen zum Thema ""Rollen und Berechtigungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Authentifizierung und nachgelagerten Aspekten wie Schutz vor Schadcode. Schwerpunkte sind u. a.: Minimal erforderliche Berechtigungen für Anwendungen; Gemeinsam genutzte Verzeichnisse; Kiosk-Modus.",2bad4a78-2487-4d7d-838b-8a47addae235
Rücknahme von Assets,"Rücknahme von Assets beschreibt Verfahren und Regelungen zum Thema ""Rücknahme von Assets"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Wartung und nachgelagerten Aspekten wie Löschen und Vernichten. Schwerpunkte sind u. a.: Abhandenkommen; Rückkehr abhandengekommener Assets; Konformitätsprüfung.",0dc994d9-6c58-4fd3-9487-1c9a74b0752f
Schlüsselmanagement,"Schlüsselmanagement beschreibt Verfahren und Regelungen zum Thema ""Schlüsselmanagement"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Authentifizierung. Schwerpunkte sind u. a.: Etablierte Algorithmen bei der Schlüsselerzeugung; Schlüssellänge; Verzeichnis öffentlicher Schlüssel.",a0e4d959-6ed7-4c83-acf8-29901ad3ddf9
Schlüsselverwaltung,"Schlüsselverwaltung beschreibt Verfahren und Regelungen zum Thema ""Schlüsselverwaltung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Platzierung von Assets und nachgelagerten Aspekten wie Verwahrung von Speichermedien. Schwerpunkte sind u. a.: Schlüsselbeauftragte; Verwahrung von Schlüsseln; Schlüsselaudit.",9d651c54-5613-407c-a035-abe0039cf0fe
Schutz vor Elementarschäden,"Schutz vor Elementarschäden beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Elementarschäden"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Versorgungseinrichtungen. Schwerpunkte sind u. a.: Brandschutz; Wasserschutz; Blitzschutzeinrichtungen.",cbe8a318-2d67-4edc-a3d6-b892498b111b
Schutz vor Schadcode,"Schutz vor Schadcode beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Schadcode"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Rollen und Berechtigungen und nachgelagerten Aspekten wie Sicherheitsupdates. Schwerpunkte sind u. a.: Echtzeitscanner; Regelmäßige Scans; Host-basierte Angriffserkennung.",cf654423-ecec-43a5-98aa-b1af0a023e17
Schutz vor Schadprogrammen,"Schutz vor Schadprogrammen beschreibt Verfahren und Regelungen zum Thema ""Schutz vor Schadprogrammen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlegende Sensibilisierung und nachgelagerten Aspekten wie Authentisierung. Schwerpunkte sind u. a.: Schadprogramme; Öffnen verdächtiger Dateien; Umwandeln verdächtiger Dateien.",f580d6e8-61d4-4a7f-8552-d99586634099
Senden und Empfangen von Nachrichten,"Senden und Empfangen von Nachrichten beschreibt Verfahren und Regelungen zum Thema ""Senden und Empfangen von Nachrichten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Kontrollierte Datenverarbeitung und nachgelagerten Aspekten wie Verteilte Anwendungen. Schwerpunkte sind u. a.: Filtern schädlicher Nachrichten; Authentizität von Nachrichten; Kryptographische Signatur des Mailservers.",268f6bca-9550-461a-85a5-7da7908fb95c
Sensibilisierung der Leitungsebene,"Sensibilisierung der Leitungsebene beschreibt Verfahren und Regelungen zum Thema ""Sensibilisierung der Leitungsebene"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Administration und nachgelagerten Aspekten wie Spezifische Risiken. Schwerpunkte sind u. a.: Sensibilisierung der Institutionsleitung; Führen als Vorbild; Whaling.",0c5e4691-4fe6-42a1-b809-4b326c292b67
Sicherheitsbereiche,"Sicherheitsbereiche beschreibt Verfahren und Regelungen zum Thema ""Sicherheitsbereiche"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umwelteinflüsse und nachgelagerten Aspekten wie Gemeinsame Arbeitsbereiche. Schwerpunkte sind u. a.: Einrichtung; Gesonderte Autorisierung; Schleusen.",6879281b-85d6-4289-a073-1d65d1b069a5
Sicherheitsorganisation,"Die Sicherheitsorganisation für die Institution muss mit festgelegten Rollen, Zuständigkeiten sowie relevanten Gremien verankert werden. Ziel ist es, alle relevanten Bereiche eines ISMS sowie die wichtigen Schnittstellen zu anderen Bereichen vollständig und wirksam in der Institution abzubilden.",c04122d4-3c02-4c27-bd26-e63f0534d0bd
Sicherheitsupdates,"Sicherheitsupdates beschreibt Verfahren und Regelungen zum Thema ""Sicherheitsupdates"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Schutz vor Schadcode und nachgelagerten Aspekten wie Verfügbarkeit von Ressourcen. Schwerpunkte sind u. a.: Automatische Überprüfung; Automatische Updates der Anwendung.",2ffa8a76-c30b-47a2-b2d3-8cfd9c397795
Softwareentwicklung - Code,"Softwareentwicklung - Code beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Code"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Härtung und nachgelagerten Aspekten wie Softwareentwicklung - Updates. Schwerpunkte sind u. a.: Nutzerinformation bei kritischen Ereignissen; Bibliotheksquellen; SBOM.",788c2014-fff2-45f3-97c4-46f56ece2a1b
Softwareentwicklung - Härtung,"Softwareentwicklung - Härtung beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Härtung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Security by Design und nachgelagerten Aspekten wie Softwareentwicklung - Code. Schwerpunkte sind u. a.: Replay-Angriffe; Routinen zur Fehlerbehandlung; Deaktivierung der Ausgabe schützenswerter Daten durch Fehlermeldungen.",dad9060e-baa4-4044-9ec0-796714c4fbd5
Softwareentwicklung - Security by Design,"Softwareentwicklung - Security by Design beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Security by Design"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Softwareentwicklung - Härtung. Schwerpunkte sind u. a.: Architektur nach dem Prinzip ""Security by Design""; Dokumentation der (Software-)Architektur; Ausführbarkeit mit minimalen Rechten.",4be7dbf9-f9b9-4f79-8315-41cc9bd14030
Softwareentwicklung - Updates,"Softwareentwicklung - Updates beschreibt Verfahren und Regelungen zum Thema ""Softwareentwicklung - Updates"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Softwareentwicklung - Code und nachgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Verankerung des Zeitraums für Updates; Information über Zeitraum für Updates; Integritätsprüfung.",accbabf3-e91b-4f5c-a1e3-7109c1971a6b
Spezifische Risiken,"Spezifische Risiken beschreibt Verfahren und Regelungen zum Thema ""Spezifische Risiken"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Sensibilisierung der Leitungsebene. Schwerpunkte sind u. a.: Hohe Risiken.",460a3e0b-2a34-4a3f-bfc0-28edca90fa14
Tests,"Tests beschreibt Verfahren und Regelungen zum Thema ""Tests"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Vorbereitung und nachgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Sicherheitstest; Testabdeckung.",b672005f-aa77-4dd4-9cb4-c5c1b1736b2a
Umgang mit Datenträgern,"Umgang mit Datenträgern beschreibt Verfahren und Regelungen zum Thema ""Umgang mit Datenträgern"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umgang mit Informationen und nachgelagerten Aspekten wie Umgang mit spezifischen Zielobjekten. Schwerpunkte sind u. a.: Scan angenommener Wechseldatenträger; Verschlüsselung.",44a2f01e-7bc2-4530-aa6f-edd721cb4cd9
Umgang mit Informationen,Umgang mit Informationen enthält Verfahren und Regelungen die bei der Verarbeitung von Informationen zu beachten sind. Es grenzt sich ab von vorgelagerten Aspekten wie der Authentisierung zum Zugriff. Dabei stehen die Daten selbst im Zentrum und nicht der Umgang mit Systemen oder Datenträgern als Ganzes. Schwerpunkte sind u. a.: die Weitergabe von Informationen oder die Frage welche Daten wo abzulegen sind.,0ff0f2da-afe5-49eb-825b-59c101cb39c0
Umgang mit Nicht-Konformitäten,"Der systematische Umgang mit Nicht-Konformitäten ist ein zentraler Bestandteil des kontinuierlichen Verbesserungsprozesses. Nicht-Konformitäten – also Abweichungen von definierten Anforderungen, Standards oder Erwartungen – stellen wichtige Indikatoren für Verbesserungspotenzial dar und müssen strukturiert behandelt werden, um die Wirksamkeit des ISMS zu steigern.",7c07b3bb-c479-4b66-a527-365850d2f694
Umgang mit spezifischen Zielobjekten,"Umgang mit spezifischen Zielobjekten beschreibt Verfahren und Regelungen zum Thema ""Umgang mit spezifischen Zielobjekten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Umgang mit Datenträgern und nachgelagerten Aspekten wie Physische Sicherheit. Schwerpunkte sind u. a.: Spezifische Sensibilisierung; Virenscan; Automatische Antworten.",364dfb41-a2c3-439e-8e80-a65d7ff4a41e
Umsetzungsplanung,"Die Umsetzungsplanung umfasst die Festlegung konkreter Maßnahmen für die Umsetzung nicht erfüllter Anforderungen aus dem Anforderungspaket. Priorisierung der festgelegten Maßnahmen erfolgt auf Basis der Risikobetrachtung und weiterer relevanter Faktoren wie Abhängigkeiten und Ressourcenverfügbarkeit, sowie dem Aufwand.",33928743-3371-40c9-a2ae-4f392566f08b
Verfügbarkeit von Ressourcen,"Verfügbarkeit von Ressourcen beschreibt Verfahren und Regelungen zum Thema ""Verfügbarkeit von Ressourcen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Sicherheitsupdates und nachgelagerten Aspekten wie Konfiguration von Anwendungen. Schwerpunkte sind u. a.: Speicherplatzbegrenzung; Begrenzung der Rechenleistung; Alternative Komponenten für kritische Funktionen.",100e91f0-6096-4663-98e5-1667ca9c2849
Versorgungseinrichtungen,"Versorgungseinrichtungen beschreibt Verfahren und Regelungen zum Thema ""Versorgungseinrichtungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Verwahrung von Speichermedien und nachgelagerten Aspekten wie Schutz vor Elementarschäden. Schwerpunkte sind u. a.: Normgerechte Stromversorgung; Lasttest; Notaus.",846b6374-b374-4f2f-8088-84695b2bcb05
Verteilte Anwendungen,"Verteilte Anwendungen beschreibt Verfahren und Regelungen zum Thema ""Verteilte Anwendungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Senden und Empfangen von Nachrichten und nachgelagerten Aspekten wie Ressourcenauslastung. Schwerpunkte sind u. a.: Verschlüsselung beim Transport; Source Port Randomisierung; Iterative Beantwortung.",383c6331-8231-46b9-9605-1338add3335e
Vertrauensbeziehungen,"Vertrauensbeziehungen beschreibt Verfahren und Regelungen zum Thema ""Vertrauensbeziehungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Konfiguration von Anwendungen und nachgelagerten Aspekten wie Kontrollierte Datenverarbeitung. Schwerpunkte sind u. a.: Authentifizierung vor dem Zugriff; Warteraum; Alternative Authentifizierung.",29f77df2-4ae6-4bdf-8d1a-41c7a6ca2710
Vertrauenswürdige Basisdienste,"Vertrauenswürdige Basisdienste beschreibt Verfahren und Regelungen zum Thema ""Vertrauenswürdige Basisdienste"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Physischer Schutz und nachgelagerten Aspekten wie Authentifizierung. Schwerpunkte sind u. a.: Anbindung an Verzeichnisdienst; DNS-Anbindung; Authentifizierung von Fernwartungsfunktionen.",9d2b99f4-e2fd-4586-9389-5b8d47a5602a
Vertraulichkeit und Integrität im Weitverkehrsnetz,"Vertraulichkeit und Integrität im Weitverkehrsnetz beschreibt Verfahren und Regelungen zum Thema ""Vertraulichkeit und Integrität im Weitverkehrsnetz"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Perimeterschutz und nachgelagerten Aspekten wie Dedizierte Systeme. Schwerpunkte sind u. a.: Kontrollierte Verbindungsführung; Verschlüsselung von Weiterverkehrsverbindungen.",074c7160-e467-4ad7-9625-7ae1327982a4
Verwahrung von Speichermedien,"Verwahrung von Speichermedien beschreibt Verfahren und Regelungen zum Thema ""Verwahrung von Speichermedien"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Schlüsselverwaltung und nachgelagerten Aspekten wie Versorgungseinrichtungen. Schwerpunkte sind u. a.: Gesonderte Aufbewahrung; Staub und Schmutz; Schutz der Datenträger vor Brandschäden.",bce6496a-7e16-411d-84ab-ee463207689e
Vorbereitung,"Vorbereitung beschreibt Verfahren und Regelungen zum Thema ""Vorbereitung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Tests. Schwerpunkte sind u. a.: Versionshistorie; Folgenabschätzung.",04395293-6d5e-46e8-bc4b-d1ce49d08c7d
Vorfallserkennung,"Vorfallserkennung beschreibt Verfahren und Regelungen zum Thema ""Vorfallserkennung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Management von Schwachstellen. Schwerpunkte sind u. a.: Beurteilung von Ereignissen; Beurteilung  von Eingängen.",2bad125b-a136-415f-b72f-47c999fe16e8
Wartung,"Wartung beschreibt Verfahren und Regelungen zum Thema ""Wartung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Regelungen zum Transfer und nachgelagerten Aspekten wie Rücknahme von Assets. Schwerpunkte sind u. a.: Geregelte Wartungen; Präventive Wartung; Autorisierung von Wartungen.",ea4483ce-48a6-4404-b7f7-cb897cbd9fcb
Weggang von Mitarbeitenden,"Weggang von Mitarbeitenden beschreibt Verfahren und Regelungen zum Thema ""Weggang von Mitarbeitenden"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Personalbetreuung. Schwerpunkte sind u. a.: Weggang.",49a39d78-bee2-4cef-bb4f-c77da99b8467
Wireless LAN,"Wireless LAN beschreibt Verfahren und Regelungen zum Thema ""Wireless LAN"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Netzdesign und nachgelagerten Aspekten wie Zugangsbeschränkungen. Schwerpunkte sind u. a.: Netzabdeckung; Einschränkung in Sicherheitsbereichen; SSIDs.",3aec9759-e015-4571-84b0-9eeac4833a62
Wirksamkeitsprüfung,Die Überprüfung der Wirksamkeit schließt die Lücke zwischen der Planung und Umsetzung von Maßnahmen einerseits und der Bewertung ihrer tatsächlichen Wirkung andererseits.,3e413493-ecda-446c-9ed8-77825995aaeb
Zugangsbeschränkungen,"Zugangsbeschränkungen beschreibt Verfahren und Regelungen zum Thema ""Zugangsbeschränkungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Wireless LAN und nachgelagerten Aspekten wie Perimeterschutz. Schwerpunkte sind u. a.: Netzzugangskontrolle; Autorisiertes Routing; Authentifizierung von Routingprotokollen.",c2d727b8-fcd4-46d5-a64b-b3901ea738d8
Zugangskonten,"Zugangskonten beschreibt Verfahren und Regelungen zum Thema ""Zugangskonten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Identitätsmanagement und nachgelagerten Aspekten wie Berechtigungsmanagement. Schwerpunkte sind u. a.: Zentrales Management; Einschränkung des Managements; Protokollierung von Änderungen.",2d8f7753-5bd5-42d3-8e26-1ef4582da9ea
Umsetzungszuständige,Die eindeutige Festlegung von Zuständigkeiten überführt die geplanten Maßnahmen in verbindliche Aufgaben mit klaren Verantwortlichkeiten.,9279a98f-4ce0-42fd-9d05-b6e58e952cf9
Umsetzungsfristen,Die eindeutige Festlegung von realistischen Umsetzungsfristen überführt die geplanten Maßnahmen in verbindliche Aufgaben mit zeitlichen Vorgaben.,74cae0df-8555-4d1d-9199-12e97ce0cf91
Sicherheitsniveau,"In diesem Teilschritt der Anforderungsanalyse ist es möglich die initiale Einstellung des Sicherheitsniveaus zu überprüfen und bei Bedarf, auch bei einzelnen Assets, zu ändern.",d41b337c-f304-454e-b032-d4efd12f7161
Überwachung von Aktivitäten,"Überwachung von Aktivitäten beschreibt Verfahren und Regelungen zum Thema ""Überwachung von Aktivitäten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Protokollierung und nachgelagerten Aspekten wie Management von Schwachstellen. Schwerpunkte sind u. a.: Überwachung der Protokollierung; Automatische Angriffserkennung; Überwachung der Angriffserkennung.",d1295ff6-7958-42f2-9e5e-987b0ed117dc
Risiko,"Ein Risiko im Kontext des Risikomanagements ist ein Szenario, welches eintreten kann und in der Regel negative Auswirkungen hat. Deswegen ist der Aufbau eines effektiven Risikomanagements elementar für ein funktionales ISMS. Ein Risiko hat in der Regel eine Eintrittswahscheinlichkeit und eine Schadenshöhe bei Eintritt. In der IT-Sicherheit sind Risiken oft durch die Ausnutzung von Schwachstellen und eine somit entstehende Bedrohung begründet.",f38cbd80-deac-4519-ba3c-9c1313c89782
Ressourcen,"Für eine effektive Informationssicherheit müssen Verfahren und Regelungen festgelegt werden, um hinreichend personelle und finanzielle Ressourcen für das Informationssicherheitsmanagement zu gewährleisten.",19f91345-0425-413a-a4e5-d047ce89bc26
Dokumentenlenkung,"Dokumentenlenkung bedeutet Verfahren zur nachvollziehbaren Erstellung, Versionierung bis hin zur Archivierung von Dokumenten.",eb984272-1f83-411d-bec1-14baedf68883
